"Timestamp","Escuela","Grado","Sección / Curso","Edad","Género","¿En qué lugar usás comúnmente la computadora?","¿Qué hacés cuando usás la computadora (podés elegir más de una opción)?","¿Dónde aprendiste a usar la computadora (podés elegir más de una opción) ?","¿Qué celular usás?","Si usás celular: ¿qué haces cuando usás el celular (podés elegir más de una opción)?","¿Dónde se almacenan los videos que están en YouTube?","¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?","Cuando le mando a una amiga una foto por WhatsApp...","Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?","Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?","Si me llega un mensaje por WhatsApp con un link para descargar una aplicación, ¿cuál de las siguientes opciones creés que es la correcta?","En informática, ¿qué es la nube?","De las siguientes afirmaciones sobre la nube, marcá la o las que creas correctas (podés elegir más de una opción):","Si cada círculo representa las cosas que podemos hacer con Internet y la nube, ¿cómo creés que se comportan?","¿Conocés o alguna vez usaste Wikipedia?","Si tengo que hacer un trabajo para la escuela y después de buscar en Wikipedia encuentro un artículo que habla del tema, ¿cuál de las siguientes opciones creés que es la correcta?"
"2022/11/18 8:42:31 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Masculino","En mi casa","Miro videos en YouTube","Aprendí solo","El mío","Miro videos en YouTube","En la nube","Solo yo.","No sé","Tengo que borrar la foto en el chat.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Se puede usar la nube para jugar juegos sin instalarlos","No sé.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 8:42:37 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","10","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet);Leo artículos en Wikipedia;veo videos de tiktok","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","Me prestan uno","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos;Investigo en Wikipedia","En la nube","Solo yo.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","El mensaje se manda a través de una red de antenas y computadoras.","Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.","Una red de antenas y satélites","Sin la nube sería imposible escuchar música en el celular;Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos;Google Maps descarga sus mapas de la nube","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 8:42:47 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","10","Masculino","En mi casa","Juego juegos;Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Me enseñaron en la escuela;Aprendí solo","No uso celular","Juego juegos","En la nube","Solo yo.","No sé","Tengo que borrar la foto en el chat.","No sé","No sé.","Una red de antenas y satélites","Sin la nube sería imposible escuchar música en el celular;Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular;Instagram y TikTok usan la nube para compartir sus videos;Google Maps descarga sus mapas de la nube","Con la nube podemos hacer más cosas que con Internet.","Sí","No hay forma de saber si la información del artículo es verdadera o falsa."
"2022/11/18 8:43:19 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","10","Femenino","En mi casa","Juego juegos;Miro videos en YouTube;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Aprendí solo","El mío","Miro videos en YouTube;Juego juegos","En la nube","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de una antena.","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/18 8:43:28 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","10","Masculino","En la escuela","Miro videos en YouTube","Aprendí solo","Me prestan uno","Nunca uso el celular","En la nube","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de una red de antenas y computadoras.","Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.","Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Se puede usar la nube para jugar juegos sin instalarlos;Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular","Con Internet podemos hacer más cosas que con la nube.","No",""
"2022/11/18 8:43:36 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Me enseñaron en la escuela;Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de una red de antenas y computadoras.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Se puede usar la nube para jugar juegos sin instalarlos;Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular;Instagram y TikTok usan la nube para compartir sus videos;Google Maps descarga sus mapas de la nube;Sin la nube sería imposible sacar fotos con el celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 8:43:40 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Aprendí solo","No uso celular","Miro videos en YouTube;Juego juegos","No sé","Solo yo.","No sé","No sé","No sé","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Una nube","Sin la nube no sería posible hacer llamadas por celular","No sé.","No",""
"2022/11/18 8:43:44 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Femenino","En mi casa","Juego juegos;Miro videos en YouTube;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","No sé","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","No sé","No sé.","No sé","","","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/18 8:43:48 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Masculino","En la escuela","Juego juegos;Miro videos en YouTube","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube","En mi celular","Solo yo.","No sé","Tengo que borrar la foto en el chat.","No sé","No sé.","Una parte del celular","Se puede usar la nube para jugar juegos sin instalarlos;Sin la nube no sería posible hacer llamadas por celular","Podemos hacer exactamente lo mismo con Internet que con la nube.","No",""
"2022/11/18 8:44:09 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Femenino","En la escuela","Juego juegos;Miro videos en YouTube;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Me enseñaron en la escuela","Me prestan uno","Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Juego juegos","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en la Galería de fotos de mi celular.","El mensaje se manda a través de una antena.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos;Sin la nube sería imposible sacar fotos con el celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 8:44:31 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","10","Masculino","En mi casa","Miro videos en YouTube","Aprendí solo","El mío","Miro videos en YouTube;Juego juegos","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda a través de un satélite.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Sin la nube sería imposible escuchar música en el celular;Se puede usar la nube para jugar juegos sin instalarlos","Internet y la nube no tienen funciones en común.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 8:47:26 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","10","Femenino","En la escuela","Juego juegos","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono","En la nube","Solo yo.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","El mensaje se manda a través de la nube.","No sé.","Una red de antenas y satélites","Sin la nube sería imposible escuchar música en el celular;Se puede usar la nube para jugar juegos sin instalarlos;Sin la nube no sería posible hacer llamadas por celular","No sé.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 8:48:57 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","10","Femenino","En mi casa","Juego juegos;Hago la tarea;VEO PELICULAS Y SERIES","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","Me prestan uno","Edito fotos","No sé","Solo yo.","Le doy permiso para ver la foto que tengo guardada en mi celular.","Tengo que borrar la foto en el chat.","El mensaje se manda a través de una antena.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Una computadora gigante","Sin la nube sería imposible escuchar música en el celular;Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular","Con Internet podemos hacer más cosas que con la nube.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/18 8:49:40 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Otro","En mi casa","Juego juegos;Miro videos en YouTube","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos;veo tik tock","En mi celular","Yo y otras personas.","No sé","Tengo que borrar la foto en el chat.","El mensaje se manda a través de un satélite.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una nube","Se puede usar la nube para jugar juegos sin instalarlos","No sé.","Sí","Todo lo que está en el artículo es falso: cualquier usuario pudo haberlo inventado."
"2022/11/18 8:51:12 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Femenino","En mi casa","Juego juegos;Miro videos en YouTube;Hago la tarea","Aprendí solo","El mío","Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Juego juegos","En mi celular","Solo yo.","Le mando una copia de mi foto.","Tengo que borrar la foto en la Galería de fotos de mi celular.","El mensaje se manda a través de una red de antenas y computadoras.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Una red de antenas y satélites","Podemos utilizar la nube sin conexión a Internet","Con Internet podemos hacer más cosas que con la nube.","No",""
"2022/11/18 8:51:28 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Femenino","En mi casa","Juego juegos;Miro videos en YouTube","Aprendí solo","El mío","Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Juego juegos","En mi celular","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","No sé.","Una nube","Sin la nube sería imposible escuchar música en el celular;Se puede usar la nube para jugar juegos sin instalarlos;Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular;Instagram y TikTok usan la nube para compartir sus videos;Sin la nube sería imposible sacar fotos con el celular","Podemos hacer exactamente lo mismo con Internet que con la nube.","No",""
"2022/11/18 8:52:00 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Femenino","En mi casa","Juego juegos;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En la nube","Solo yo.","Le mando una copia de mi foto.","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda a través de la nube.","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","Una parte del celular","La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular;Instagram y TikTok usan la nube para compartir sus videos;Sin la nube sería imposible sacar fotos con el celular","Con la nube podemos hacer más cosas que con Internet.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 8:53:25 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","9","Femenino","En la escuela","Juego juegos","Me enseñaron en la escuela","No uso celular","Nunca uso el celular","En una computadora","Yo y otras personas.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","El mensaje se manda a través de una antena.","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","Una nube","Sin la nube sería imposible escuchar música en el celular","Podemos hacer exactamente lo mismo con Internet que con la nube.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 9:01:09 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","C","10","Femenino","En la escuela","Juego juegos;fuego y agua","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Me enseñaron en la escuela","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En la nube","Solo yo.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Una parte del celular","Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos;Sin la nube sería imposible sacar fotos con el celular","Con Internet podemos hacer más cosas que con la nube.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 9:29:02 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","10","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago la tarea;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","No sé","Solo yo.","Le doy permiso para ver la foto que tengo guardada en mi celular.","Tengo que borrar la foto en la Galería de fotos de mi celular.","El mensaje se manda a través de una antena.","No sé.","Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Sin la nube sería imposible escuchar música en el celular;Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos","No sé.","Sí","No hay forma de saber si la información del artículo es verdadera o falsa."
"2022/11/18 9:29:15 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","9","Masculino","En la escuela","Juego juegos","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Me enseñaron en la escuela;Aprendí solo","El mío","Miro videos en YouTube;Hablo por teléfono;Juego juegos;Investigo en Wikipedia","En mi celular","No sé","No sé","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","No sé.","Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular","Podemos hacer exactamente lo mismo con Internet que con la nube.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 9:29:20 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","9","Femenino","En mi casa","Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","Me prestan uno","Miro videos en YouTube;Juego juegos","No sé","Solo yo.","Le doy permiso para ver la foto que tengo guardada en mi celular.","No sé","El mensaje se manda a través de una antena.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","No sé","","","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 9:29:26 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","9","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago la tarea;Leo artículos en Wikipedia","Aprendí solo","No uso celular","no tengo celular","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de la nube.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular;Sin la nube sería imposible sacar fotos con el celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/18 9:30:57 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","9","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Hablo por teléfono;Juego juegos;Investigo en Wikipedia","En la nube","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","No sé","No sé.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular","No sé.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/18 9:31:09 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","10","Masculino","En la escuela","Juego juegos;Hago la tarea","Me enseñaron en la escuela;Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Hablo por teléfono;Juego juegos;Investigo en Wikipedia","En muchas computadoras (tantas que podrían llenar una casa)","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de un satélite.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 9:31:19 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","9","Femenino","En mi casa","Juego juegos;Miro videos en YouTube","Aprendí solo","Me prestan uno","Miro videos en YouTube;Juego juegos","En mi celular","Yo y otras personas.","No sé","No sé","No sé","No sé.","No sé","","","No",""
"2022/11/18 9:31:26 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","9","Otro","En mi casa","Juego juegos;Miro videos en YouTube","Me enseñaron en la escuela","El mío","Miro videos en YouTube;Juego juegos","En la nube","Solo yo.","Le mando una copia de mi foto.","No sé","El mensaje se manda a través de una antena.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","No sé","","","Sí","Todo lo que está en el artículo es falso: cualquier usuario pudo haberlo inventado."
"2022/11/18 9:31:58 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","10","Femenino","En mi casa","Juego juegos;Miro videos en YouTube","Aprendí solo","Me prestan uno","Miro videos en YouTube;Juego juegos","En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.","Una red de antenas y satélites","Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Sin la nube sería imposible sacar fotos con el celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/18 9:32:22 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","10","Femenino","En mi casa","Juego juegos;Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en la Galería de fotos de mi celular.","El mensaje se manda a través de una red de antenas y computadoras.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular;Google Maps descarga sus mapas de la nube","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","No hay forma de saber si la información del artículo es verdadera o falsa."
"2022/11/18 9:32:28 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","10","Femenino","En mi casa","Juego juegos;Miro videos en YouTube","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En mi celular","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de una antena.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Una parte del celular","Instagram y TikTok usan la nube para compartir sus videos","Podemos hacer exactamente lo mismo con Internet que con la nube.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 9:33:00 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","10","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago la tarea;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet);Leo artículos en Wikipedia;hago llamadas con is amigos y juego roblox XD","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos;Investigo en Wikipedia;miro youtube (shorts)","En mi celular","Solo yo.","Le doy permiso para ver la foto que tengo guardada en mi celular.","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda a través de una antena.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Sin la nube no sería posible hacer llamadas por celular;Instagram y TikTok usan la nube para compartir sus videos","Con Internet podemos hacer más cosas que con la nube.","Sí","Todo lo que está en el artículo es falso: cualquier usuario pudo haberlo inventado."
"2022/11/18 9:34:04 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","10","Masculino","En la escuela","Juego juegos","Aprendí solo","No uso celular","Nunca uso el celular","En la nube","Solo yo.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","El mensaje se manda a través de una red de antenas y computadoras.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Una parte del celular","La nube me permite guardar las fotos y videos del celular","Internet y la nube no tienen funciones en común.","Sí","Toda la información en el artículo es verdadera porque está verificada."
"2022/11/18 9:34:57 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","9","Masculino","En la escuela","Juego juegos;Miro videos en YouTube;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos;Investigo en Wikipedia","En la nube","Yo y otras personas.","Le mando una copia de mi foto.","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","Una parte del celular","Se puede usar la nube para jugar juegos sin instalarlos","Con Internet podemos hacer más cosas que con la nube.","Sí","No hay forma de saber si la información del artículo es verdadera o falsa."
"2022/11/18 9:35:22 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","10","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Solo yo.","Le mando una copia de mi foto.","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda a través de la nube.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una parte del celular","Se puede usar la nube para jugar juegos sin instalarlos;Podemos utilizar la nube sin conexión a Internet","Con Internet podemos hacer más cosas que con la nube.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/18 9:35:59 AM GMT-3","Escuela Nueva Juan Mantovani","Cuarto","A","10","Masculino","En la escuela","Juego juegos;Miro videos en YouTube;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Aprendí solo","No uso celular","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En mi celular","Yo y otras personas.","No sé","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda directamente.","No sé.","Una parte del celular","Sin la nube sería imposible escuchar música en el celular;La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos;Sin la nube sería imposible sacar fotos con el celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Toda la información en el artículo es verdadera porque está verificada."
